core-keeper-dedicated
date,stream,content
2026/04/13 11:07:30,stdout,CommandLineArgs.args[13]: /home/steam/core-keeper-data

2026/04/13 11:07:30,stdout,CommandLineArgs.args[12]: -datapath

2026/04/13 11:07:30,stdout,CommandLineArgs.args[11]: rBhHrvTfq5Pggnv

2026/04/13 11:07:30,stdout,CommandLineArgs.args[10]: -gameid

2026/04/13 11:07:30,stdout,CommandLineArgs.args[9]: 0

2026/04/13 11:07:30,stdout,CommandLineArgs.args[8]: -worldmode

2026/04/13 11:07:30,stdout,CommandLineArgs.args[7]: Yggdrasil

2026/04/13 11:07:30,stdout,CommandLineArgs.args[6]: -worldname

2026/04/13 11:07:30,stdout,CommandLineArgs.args[5]: 0

2026/04/13 11:07:30,stdout,CommandLineArgs.args[4]: -world

2026/04/13 11:07:30,stdout,CommandLineArgs.args[3]: /home/steam/core-keeper-dedicated/logs/2026-04-13_09-07-25.log

2026/04/13 11:07:30,stdout,CommandLineArgs.args[2]: -logfile

2026/04/13 11:07:30,stdout,CommandLineArgs.args[1]: -batchmode

2026/04/13 11:07:30,stdout,CommandLineArgs.args[0]: ./CoreKeeperServer

2026/04/13 11:07:30,stdout,Initializing Steamworks with AppID 1621690

2026/04/13 11:07:29,stdout,CommandLineArgs.args[17]: 12Ygg34!#

2026/04/13 11:07:29,stdout,CommandLineArgs.args[16]: -password

2026/04/13 11:07:29,stdout,CommandLineArgs.args[15]: 4

2026/04/13 11:07:29,stdout,CommandLineArgs.args[14]: -maxplayers

2026/04/13 11:07:29,stdout,CommandLineArgs.args[13]: /home/steam/core-keeper-data

2026/04/13 11:07:29,stdout,CommandLineArgs.args[12]: -datapath

2026/04/13 11:07:29,stdout,CommandLineArgs.args[11]: rBhHrvTfq5Pggnv

2026/04/13 11:07:29,stdout,CommandLineArgs.args[10]: -gameid

2026/04/13 11:07:29,stdout,CommandLineArgs.args[9]: 0

2026/04/13 11:07:29,stdout,CommandLineArgs.args[8]: -worldmode

2026/04/13 11:07:29,stdout,CommandLineArgs.args[7]: Yggdrasil

2026/04/13 11:07:29,stdout,CommandLineArgs.args[6]: -worldname

2026/04/13 11:07:29,stdout,CommandLineArgs.args[5]: 0

2026/04/13 11:07:29,stdout,CommandLineArgs.args[4]: -world

2026/04/13 11:07:29,stdout,CommandLineArgs.args[3]: /home/steam/core-keeper-dedicated/logs/2026-04-13_09-07-25.log

2026/04/13 11:07:29,stdout,CommandLineArgs.args[2]: -logfile

2026/04/13 11:07:29,stdout,CommandLineArgs.args[1]: -batchmode

2026/04/13 11:07:29,stdout,CommandLineArgs.args[0]: ./CoreKeeperServer

2026/04/13 11:07:29,stdout,--- END Startup info ---

2026/04/13 11:07:29,stdout,"Graphics device: llvmpipe (LLVM 19.1.7, 128 bits) (OpenGLCore, OpenGL 4.5 (Core Profile) Mesa 25.0.7-2)
"
2026/04/13 11:07:29,stdout,OS version: Linux 4.4 Debian GNU/Linux 13 64bit

2026/04/13 11:07:29,stdout,Unity version: 6000.0.59f2

2026/04/13 11:07:29,stdout,Game version: 1.1.2.10-bcc6

2026/04/13 11:07:29,stdout,Time (UTC): 2026-04-13T09:07:29Z

2026/04/13 11:07:29,stdout,--- Startup info ---

2026/04/13 11:07:28,stdout,[Physics::Module] Threading Mode: Multi-Threaded

2026/04/13 11:07:28,stdout,[Physics::Module] Integration Version: 1.0.0

2026/04/13 11:07:28,stdout,[Physics::Module] SDK Version: 4.1.2

2026/04/13 11:07:28,stdout,[Physics::Module] Id: 0xf2b8ea05

2026/04/13 11:07:28,stdout,[Physics::Module] Name: PhysX

2026/04/13 11:07:28,stdout,[Physics::Module] Selected backend.

2026/04/13 11:07:28,stdout,"- Finished resetting the current domain, in  0.006 seconds
"
2026/04/13 11:07:28,stdout,"- Loaded All Assemblies, in  1.199 seconds
"
2026/04/13 11:07:27,stdout,Begin MonoManager ReloadAssembly

2026/04/13 11:07:27,stdout,OPENGL LOG: Creating OpenGL 4.5 graphics device ; Context level  <OpenGL 4.5> ; Context handle 12789568

